City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,caleta de carquin,-11.0925,-77.6267,293.21,81,33,5.15,PE,1700782496
84,alaghsas,17.0187,8.0168,297.87,15,100,3.39,NE,1700782368
85,san pedro pochutla,15.7333,-96.4667,301.99,85,80,1.65,MX,1700782496
86,newman,37.3138,-121.0208,293.28,44,0,7.15,US,1700782187
87,hithadhoo,-0.6,73.0833,300.3,77,100,3.71,MV,1700782315
88,cao bang,22.6667,106.25,293.24,75,99,0.79,VN,1700782498
89,nar'yan-mar,67.6713,53.087,258.21,98,65,0.89,RU,1700782327
90,pizarro,4.9533,-77.366,299.21,88,50,2.47,CO,1700782499
91,la passe,45.5549,-0.8967,284.81,92,100,2.95,FR,1700782373
92,tura,25.5198,90.2201,290.02,92,0,1.46,IN,1700782500
93,turpan,42.9333,89.1667,275.83,49,100,0.28,CN,1700782500
94,manokwari,-0.8667,134.0833,301.35,73,95,1.78,ID,1700782501
95,labrador city,52.9463,-66.9114,268.1,86,100,2.06,CA,1700782501
96,kourou,5.1552,-52.6478,300.18,88,59,3.16,GF,1700782206
97,altai,46.3722,96.2583,262.65,54,83,1.58,MN,1700782502
98,kodiak,57.79,-152.4072,279.88,93,100,4.63,US,1700781916
99,san antonio de pale,-1.4014,5.6325,299.24,77,100,3.57,GQ,1700782309
100,rikaze,29.25,88.8833,267.62,61,0,1.03,CN,1700782504
101,port elizabeth,-33.918,25.5701,292.77,93,0,1.54,ZA,1700782504
102,margaret river,-33.95,115.0667,295.11,43,2,2.72,AU,1700782059
103,dawei,14.0833,98.2,295.52,81,75,2.66,MM,1700782506
104,mount pearl,47.5166,-52.7813,274.34,89,75,7.2,CA,1700782507
105,puerto colombia,10.9878,-74.9547,303.2,79,94,7.22,CO,1700782507
106,nuuk,64.1835,-51.7216,274.49,60,100,5.66,GL,1700781920
107,chiang klang,19.2938,100.8617,293.72,91,40,0.59,TH,1700782508
108,los alamos,35.8881,-106.307,280.74,53,0,5.66,US,1700782508
109,hawaiian paradise park,19.5933,-154.9731,300.88,77,0,4.63,US,1700782142
110,nova vicosa,-17.8919,-39.3719,298.68,80,1,7.26,BR,1700782509
111,timimoun,29.2639,0.231,285.36,40,0,2.06,DZ,1700782510
112,raja,8.4596,25.678,299.21,38,88,1.04,SS,1700782183
113,kingsville,27.5159,-97.8561,291.25,68,20,4.12,US,1700782511
114,mirialguda,16.8667,79.5833,296.11,94,99,2.03,IN,1700782511
115,codrington,-38.2667,141.9667,290.96,82,100,1.55,AU,1700782512
116,paita,-5.0892,-81.1144,294.61,80,5,7.37,PE,1700781924
117,tarawa,1.419,172.984,304.2,70,20,2.57,KI,1700782513
118,happy valley-goose bay,53.3168,-60.3315,274.32,80,100,1.54,CA,1700782513
119,lompoc,34.6391,-120.4579,292.6,82,100,7.72,US,1700782290
120,conception bay south,47.4999,-52.9981,274.67,89,87,7.19,CA,1700782514
121,oriximina,-1.7656,-55.8661,297.42,96,96,2.93,BR,1700782515
122,madalena,41.2162,-8.3345,283.87,63,5,1.62,PT,1700782515
123,kavaratti,10.5669,72.642,300.98,75,49,2.41,IN,1700782238
124,itaituba,-4.2761,-55.9836,296.55,99,100,0.72,BR,1700782516
125,shalqar,47.8333,59.6,269.94,93,100,6.78,KZ,1700782517
126,lorengau,-2.0226,147.2712,301.3,79,98,2.74,PG,1700782169
127,chusovoy,58.3013,57.8131,261.92,93,100,3.2,RU,1700782518
128,beidao,34.5686,105.8933,280.2,64,80,1.62,CN,1700782518
129,petukhovo,55.0692,67.9019,267.65,86,100,6.68,RU,1700782519
130,puerto baquerizo moreno,-0.9,-89.6,297.53,80,53,5.96,EC,1700782520
131,jamestown,42.097,-79.2353,279.92,87,100,6.17,US,1700782333
132,acapulco de juarez,16.8634,-99.8901,302.05,54,100,2.06,MX,1700782521
133,san patricio,28.017,-97.5169,288.07,69,83,3.64,US,1700782521
134,la ronge,55.1001,-105.2842,262.29,48,0,2.57,CA,1700782522
135,eraan,9.0629,117.7016,301.5,76,98,0.76,PH,1700782522
136,udachny,66.4167,112.4,248.2,100,100,1.62,RU,1700782354
137,kingston,17.997,-76.7936,301.68,85,75,4.12,JM,1700782258
138,ust-nera,64.5667,143.2,249.47,99,100,2.08,RU,1700782153
139,kill devil hills,36.0307,-75.676,284.81,77,0,0.0,US,1700782106
140,wailua homesteads,22.0669,-159.378,299.59,82,75,5.14,US,1700782077
141,islamkot,24.6997,70.177,293.0,43,0,1.66,PK,1700782525
142,krasnyy yar,46.5331,48.3456,269.11,79,100,4.68,RU,1700782525
143,karliova,39.2983,41.0142,271.63,89,68,1.5,TR,1700782526
144,plettenberg bay,-34.0527,23.3716,290.28,94,80,1.61,ZA,1700782526
145,khandyga,62.6667,135.6,243.02,99,100,0.26,RU,1700782237
146,klyuchi,52.2667,79.1667,273.34,79,67,5.99,RU,1700782527
147,argo,37.6333,22.7333,286.92,80,0,1.26,GR,1700782528
148,highworth,51.6305,-1.711,284.64,89,75,4.12,GB,1700782528
149,yuzhno-kurilsk,44.0306,145.8556,282.8,65,69,6.84,RU,1700782529
150,makuyuni,-4.7333,38.1,295.12,95,99,2.37,TZ,1700782529
151,mahibadhoo,3.7833,72.9667,299.16,82,99,4.47,MV,1700782530
152,west island,-12.1568,96.8225,299.14,83,100,4.12,CC,1700782181
153,avarua,-21.2078,-159.775,301.18,69,40,7.72,CK,1700782177
154,ormara,25.2088,64.6357,297.16,26,2,4.94,PK,1700782532
155,pastos bons,-6.6017,-44.0767,298.46,65,64,0.82,BR,1700782532
156,vallenar,-28.5708,-70.7581,294.78,42,1,2.07,CL,1700782533
157,kailua-kona,19.6406,-155.9956,300.65,83,40,3.09,US,1700781952
158,katabu,-4.9333,122.5167,303.3,64,100,1.65,ID,1700782534
159,allapalli,19.4167,80.0667,295.12,79,67,0.48,IN,1700782534
160,bethel,41.3712,-73.414,281.2,68,0,2.57,US,1700782129
161,iqaluit,63.7506,-68.5145,268.0,63,75,6.17,CA,1700782143
162,zhob,31.3411,69.4481,283.47,55,64,1.68,PK,1700782535
163,mugia,43.1041,-9.2179,281.99,74,83,3.26,ES,1700782536
164,cam ranh,11.9214,109.1591,300.13,69,40,6.69,VN,1700782536
165,galle,6.0367,80.217,297.74,88,97,1.97,LK,1700782536
166,midvagur,62.0511,-7.1939,274.61,75,100,15.43,FO,1700782263
167,kone,-21.0595,164.8658,298.95,60,76,4.31,NC,1700782537
168,alice springs,-23.7,133.8833,301.9,21,69,6.69,AU,1700782538
169,oamaru,-45.0784,170.9801,283.92,66,77,0.45,NZ,1700782198
170,villamontes,-21.25,-63.5,294.38,74,100,3.13,BO,1700782539
171,haiku-pauwela,20.9219,-156.3051,303.16,55,20,7.2,US,1700782269
172,yellowknife,62.456,-114.3525,267.82,100,100,6.71,CA,1700782168
173,baiti,13.745,-14.7482,299.87,13,99,3.54,SN,1700782540
174,santa rosalia,27.3167,-112.2833,296.02,44,64,1.33,MX,1700782540
175,kovalam,8.3667,76.9967,300.2,83,40,0.0,IN,1700782541
176,praia da vitoria,38.7333,-27.0667,292.46,94,40,6.7,PT,1700782541
177,hong kong,22.2855,114.1577,296.11,75,20,3.58,HK,1700782368
178,saint-denis,48.9167,2.3333,284.86,87,100,5.14,FR,1700782542
179,tolanaro,-25.0319,46.9987,297.19,83,20,6.17,MG,1700782299
180,kurumkan,54.3,110.3,250.51,89,35,1.46,RU,1700782543
181,olonkinbyen,70.9221,-8.7187,269.22,90,99,14.54,SJ,1700782134
182,atafu village,-8.5421,-172.5159,302.0,71,100,2.53,TK,1700782544
183,buta,2.7858,24.73,294.4,99,58,0.02,CD,1700782369
184,niquero,20.0431,-77.5828,298.82,76,20,2.6,CU,1700782545
185,fisterra,42.9049,-9.2629,281.9,68,85,2.17,ES,1700782545
186,songea,-10.6833,35.65,291.88,93,100,1.7,TZ,1700782500
187,penalva,-3.2942,-45.1736,299.86,65,43,2.2,BR,1700782546
188,mirnyy,62.5353,113.9611,248.04,97,95,2.66,RU,1700782546
189,sinabang,2.4803,96.3801,298.76,84,100,2.93,ID,1700782547
190,akjoujt,19.6969,-14.4164,296.48,21,19,6.62,MR,1700782547
191,visby,57.6409,18.296,277.27,70,75,9.26,SE,1700782548
192,pokhara,28.2333,83.9833,287.79,38,0,2.68,NP,1700782484
193,kununurra,-15.7667,128.7333,301.14,74,98,2.06,AU,1700782549
194,ulsteinvik,62.3432,5.8487,277.22,74,100,8.49,NO,1700782549
195,st. john's,47.5649,-52.7093,274.8,89,75,7.2,CA,1700782550
196,adigrat,14.277,39.462,285.51,70,8,1.87,ET,1700782550
197,n'dalatando,-9.2978,14.9116,291.77,98,100,0.95,AO,1700782550
198,bandon,51.7469,-8.7425,285.92,84,88,3.56,IE,1700782551
199,vorgashor,67.5833,63.95,260.01,86,32,5.2,RU,1700782551
200,cheltenham,51.9,-2.0833,285.12,80,87,0.89,GB,1700782552
201,kerikeri,-35.2268,173.9474,293.2,53,49,4.82,NZ,1700782552
202,papatowai,-46.5619,169.4708,283.32,50,98,5.56,NZ,1700782553
203,ardabil,38.2498,48.2933,274.9,93,20,2.06,IR,1700782553
204,lamu,-2.2717,40.902,297.47,91,94,1.75,KE,1700782553
205,utrik,11.2278,169.8474,300.76,68,3,8.92,MH,1700782554
206,revda,56.801,59.9303,259.58,90,100,4.22,RU,1700782291
207,mil'kovo,55.6078,37.7956,267.83,94,100,4.49,RU,1700782555
208,camabatela,-8.1881,15.375,287.96,98,100,1.32,AO,1700782555
209,malanje,-9.5402,16.341,289.17,98,98,1.1,AO,1700782556
210,general acha,-37.377,-64.6043,293.04,18,0,4.0,AR,1700782556
211,naze,28.3667,129.4833,292.66,64,5,9.12,JP,1700782556
212,vila franca do campo,37.7167,-25.4333,292.38,99,97,2.59,PT,1700782294
213,qui nhon,13.7667,109.2333,296.91,82,100,8.32,VN,1700782557
214,oak grove,45.4168,-122.6401,284.36,72,17,2.68,US,1700782558
215,sirjan,29.452,55.6814,284.12,48,87,3.64,IR,1700782558
216,malax,62.9423,21.5731,273.12,100,100,4.63,FI,1700782559
217,holualoa,19.6228,-155.9522,298.58,84,40,3.09,US,1700782559
218,tsiombe,-25.3,45.4833,295.44,82,0,2.94,MG,1700782559
219,carnarvon,-24.8667,113.6333,296.35,71,0,4.88,AU,1700782209
220,mikhaylovskoye,51.8239,79.7172,274.48,81,63,5.73,RU,1700782561
221,undurkhaan,47.3194,110.6556,244.1,94,5,1.41,MN,1700782561
222,concepcion,-36.827,-73.0498,291.04,68,0,7.72,CL,1700782562
223,chibougamau,49.9168,-74.3659,263.94,79,100,4.12,CA,1700782562
224,kalabo,-14.97,22.6814,293.02,87,100,2.61,ZM,1700782563
